Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Thread Group:Login Request,490,26977,465,46330,8959.13,0.000%,2.05823,0.97,0.68,483.0
Thread Group:AddSkill-Request,490,241,16,1402,176.19,2.857%,2.08245,0.42,1.29,205.4
Thread Group:updateSkill Request,490,355,40,1919,219.64,2.857%,2.08033,0.42,1.34,205.4
Thread Group:DeleteSkill-Request,490,237,8,1404,160.11,2.857%,2.08009,0.40,1.20,194.7
Thread Group:AddEducation-Request,490,287,7,1659,237.50,2.857%,2.08020,0.42,1.42,205.4
Thread Group:UpdateEducation-Request,490,269,13,1436,202.79,2.857%,2.08030,0.42,1.53,205.4
Thread Group:DeleteEducation-Request,490,188,14,1404,163.63,2.857%,2.07612,0.55,1.17,269.5
Thread Group:addCertufication-Request,490,223,8,1404,186.99,2.857%,2.07081,0.42,1.37,205.4
Thread Group:DeleteCertificate-Request,490,236,16,783,172.44,3.061%,2.06859,0.44,1.18,215.8
Thread Group:shareSkill-Request,490,251,4,1192,150.70,2.857%,2.06659,0.45,2.79,221.9
Thread Group:viewShareSkill-Request,490,231,16,1103,155.30,0.000%,2.06502,2.84,1.11,1407.7
Thread Group:ToggleDisable-Request,980,272,17,1585,154.64,2.857%,4.13016,0.76,2.31,188.4
Thread Group:deleteShareSkill-Request,490,315,15,1243,168.27,2.857%,2.06641,0.39,1.17,194.7
TOTAL,6860,2168,4,46330,7287.65,2.464%,28.35261,8.68,18.13,313.6
