Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login Request,70,16196,2752,21810,4658.95,0.00%,3.06386,1.45,1.01,483
AddSkill-Request,70,815,29,2644,698.76,2.86%,3.39657,0.68,2.1,205.4
updateSkill Request,70,1045,168,3223,572.37,2.86%,3.56943,0.72,2.31,205.4
DeleteSkill-Request,70,815,193,1760,320.82,2.86%,3.46981,0.66,2,194.7
AddEducation-Request,70,1063,344,2201,486.49,2.86%,3.45594,0.69,2.36,205.4
UpdateEducation-Request,70,952,91,2106,501.45,2.86%,3.44488,0.69,2.53,205.4
DeleteEducation-Request,70,697,149,1727,348.11,2.86%,3.40268,0.9,1.92,269.5
addCertufication-Request,70,604,88,1394,305.42,2.86%,3.39394,0.68,2.25,205.4
DeleteCertificate-Request,70,592,94,1004,276.36,2.86%,3.39855,0.72,1.94,216.1
shareSkill-Request,70,751,119,1957,468.52,2.86%,3.22061,0.7,4.34,221.9
viewShareSkill-Request,70,585,148,1371,243.26,0.00%,3.16184,4.35,1.7,1407.7
ToggleDisable-Request,140,516,107,1593,289.24,2.86%,6.19195,1.14,3.46,188.4
deleteShareSkill-Request,70,650,234,1487,229.24,2.86%,3.17316,0.6,1.79,194.7
TOTAL,980,1843,29,21810,4193.43,2.45%,31.50011,9.65,20.15,313.7
